otu	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4	D1	D2	D3	D4	E1	E2	E3	E4	F1	F2	F3	F4	G1	G2	G3	G4	H1	H2	H3	H4
Otu5858	18477	357	32164	72	21308	22734	33209	36083	3363	464	370	618	313	200	342	225	1089	2726	606	264	4013	127	258	97	1289	245	2009	3	270	148	633	510
Otu3351	3802	1685	1129	10653	574	595	1252	156	3303	16068	1774	4707	14500	7831	5471	1237	2584	1641	2703	6422	187	7598	847	4468	7776	3663	2555	3747	4710	470	481	349
Otu593	744	669	37	0	90	243	82	99	2824	491	652	2679	4673	1822	3175	1665	2312	545	411	420	1138	400	993	34	4869	1969	1211	7908	1294	5102	1260	2772
Otu5066	24	41	38	0	0	0	0	0	776	889	5360	141	1797	256	1421	421	847	35	1125	109	12	110	664	37	662	448	165	12890	190	496	1285	18
Otu769	341	706	15	88	159	732	17	100	8	57	217	56	211	4118	278	100	38	349	231	182	115	2398	893	14782	33	57	80	1572	457	133	186	72
Otu6783	2964	694	1	0	85	97	42	0	295	1262	613	2003	332	87	38	253	1166	247	129	1142	1364	33	92	19	2158	464	235	4543	1671	3885	757	1635
Otu6784	449	2042	103	0	52	0	192	146	57	514	1128	294	1691	812	1469	1064	463	705	1101	770	358	292	147	1319	1055	931	305	1671	961	3260	641	57
Otu5068	83	0	0	165	1	0	15	0	5720	680	2626	246	813	165	6446	341	14	26	7	150	0	0	2451	131	1	51	57	124	103	172	1823	1143
Otu17955	505	457	122	1834	941	1	344	85	231	256	926	646	902	522	570	647	552	823	361	960	847	282	675	255	426	335	451	929	736	316	922	398
Otu76023	580	1136	958	172	910	1115	85	206	202	1537	95	595	844	303	828	249	37	890	1139	99	3029	32	311	259	102	47	80	242	194	135	1515	127
Otu14364	272	204	0	117	236	1139	367	107	29	24	17	69	152	39	164	169	195	898	391	621	4842	487	1448	945	60	31	211	140	685	1010	1099	1663
Otu2545	1398	303	0	0	226	0	327	182	508	355	417	583	387	333	2758	624	1227	202	23	109	282	169	978	109	1600	232	1208	1195	65	285	490	429
Otu1679	0	275	1123	0	87	28	0	0	37	140	100	479	145	8061	533	175	422	0	179	99	193	186	89	156	6	0	144	2418	334	0	322	219
Otu14451	111	31	0	10143	87	121	100	0	15	6	3	2	200	11	7	19	12	0	3910	6	41	9	3	14	0	2	15	11	30	11	12	22
Otu27046	0	2089	0	0	0	0	0	0	0	0	0	0	1498	0	0	0	712	2281	1	1908	1828	964	0	0	0	1	0	0	2315	0	0	0
Otu17949	18	80	0	0	0	0	16	1	76	51	232	78	162	1453	1139	158	2	102	414	159	144	128	4343	53	276	466	1062	564	360	383	1371	31
Otu14363	219	306	0	3415	57	0	22	0	15	58	122	338	755	250	247	303	71	105	221	244	117	108	133	2864	245	128	1613	460	194	246	290	165
Otu11912	157	439	172	477	32	201	282	2	190	128	121	315	412	361	638	365	230	395	193	338	596	728	880	913	506	383	346	989	600	293	898	598
Otu37188	0	13	0	1731	0	1552	6	0	25	194	45	2373	0	0	0	2	0	1787	1	1154	4	2	0	29	232	86	285	221	435	16	1284	51
Otu2709	42	41	0	0	7	20	0	0	328	451	883	177	201	52	5	118	115	672	350	774	7	658	8	1628	61	56	2	264	968	1471	1780	159
Otu22295	0	155	155	0	0	0	1	0	0	27	37	66	88	74	75	1868	74	1	8	98	6	7942	24	13	60	16	68	89	74	19	31	136
Otu14431	0	18	0	65	0	0	0	0	0	0	1	94	36	4	31	6	0	0	2	3	7	5	2	1	0	2	0	10208	8	9	10	3
Otu27049	629	142	0	52	37	315	1	257	338	269	313	484	6	633	804	356	11	152	490	37	70	46	881	383	699	392	706	236	4	616	632	431
Otu7791	148	322	0	3995	35	0	0	0	0	119	166	117	4	3	276	175	5	18	367	169	78	339	155	1038	269	74	735	202	103	112	129	0
Otu16	65	46	0	0	152	366	0	1	988	1330	542	240	157	56	80	32	232	1026	350	168	97	163	165	165	67	60	221	568	188	670	504	120
Otu41929	16	88	130	1659	25	48	0	0	87	37	1019	81	132	152	110	46	213	495	606	639	88	148	77	70	317	263	229	1158	340	31	251	107
Otu11910	2	411	4	0	0	506	0	1546	1	478	28	0	120	0	0	0	0	0	873	0	10	2	0	4	1860	53	987	622	2	0	1	1012
Otu112854	35	117	0	120	0	0	115	0	7	14	22	883	33	536	150	987	84	91	268	34	452	15	54	15	68	16	110	1276	25	2655	79	158
Otu27048	25	88	46	174	0	101	139	0	406	227	579	116	245	56	95	694	172	915	226	523	103	11	120	153	208	206	700	542	166	230	763	387
Otu101217	106	148	109	0	37	1	753	0	150	13	21	70	143	69	31	2161	56	96	68	147	117	74	43	90	59	19	149	1527	171	52	87	1828
Otu5118	336	443	58	1969	0	36	81	0	43	0	124	131	382	241	460	448	162	143	110	192	292	119	248	459	162	80	286	338	139	214	333	282
Otu22296	225	251	22	897	0	383	19	184	43	54	129	81	171	100	169	83	333	238	251	222	979	339	603	488	174	61	277	142	279	315	315	398
Otu27054	198	181	35	6073	78	2	0	0	4	25	196	109	126	27	145	45	59	76	64	80	42	20	43	25	36	21	35	77	34	90	79	101
Otu8812	168	229	160	0	0	0	84	0	348	164	179	1300	811	104	352	143	9	109	604	293	12	45	350	59	134	283	614	59	187	66	441	640
Otu41932	98	68	33	6253	0	22	0	0	42	26	203	8	5	1	7	5	102	3	25	15	17	12	24	17	11	3	4	243	33	45	20	12
Otu10068	1065	0	0	0	147	430	0	0	247	757	241	10	63	0	0	2	0	96	9	268	107	31	1	0	419	416	367	277	1004	105	3	1228
Otu7783	0	82	0	5426	0	0	0	0	0	385	0	0	0	229	42	0	0	272	0	0	1	0	0	106	0	53	0	0	1	0	0	0
Otu112855	93	65	0	0	0	0	2	0	3	15	21	689	26	436	108	780	37	51	223	24	303	7	69	13	31	28	57	847	28	1897	50	146
Otu7782	196	408	0	165	0	5	82	179	0	23	21	0	378	215	343	18	0	149	358	36	0	134	201	820	4	114	465	868	98	113	514	35
Otu7785	116	504	1	1543	44	94	0	0	112	5	75	180	255	281	4	14	1	72	129	83	365	161	41	153	64	70	80	240	488	119	481	0
Otu2623	95	37	28	310	0	52	0	0	663	227	497	72	75	27	153	22	623	194	107	112	103	26	42	38	281	108	354	463	198	553	207	102
Otu22302	0	613	0	20	13	211	2	64	39	19	47	50	164	130	131	102	143	138	243	182	293	4	293	299	90	91	248	342	107	115	207	239
Otu1110	0	400	0	0	0	0	0	0	245	54	1	700	302	197	36	86	127	150	27	53	0	55	13	185	779	84	242	48	34	88	21	476
